"","month","month_week","Total_outbound_calls","Total_pushcalls","Pickup_rate","Listening_rate","Listening_rate_100_"
"13","May","May-Week 1",345,0,0,0,0
"14","May","May-Week 2",270,0,0,0,0
"15","May","May-Week 3",13644,2964,47.8407557354926,81.618734734597,58.392101551481
"16","May","May-Week 4",23310,22858,66.5760240685027,76.1311381868364,40.8533935865126
"9","Jun","Jun-Week 1",16478,16180,63.1010264721772,76.6823215701261,40.4374240583232
"10","Jun","Jun-Week 2",11769,11749,56.8430050337164,76.090025083974,42.2890559732665
"11","Jun","Jun-Week 3",14940,14902,64.5923913043478,74.6570868080574,49.460103772262
"12","Jun","Jun-Week 4",29020,28950,62.9893066240867,76.3629377137037,52.9244921425834
"5","Jul","Jul-Week 1",17275,17248,61.3957731488521,78.2584947304257,45.8047105004907
"6","Jul","Jul-Week 2",15115,15099,56.3469139556096,77.0506014774878,46.283555915284
"7","Jul","Jul-Week 3",19929,15528,50.6612952265126,77.6067435044095,49.3923480870218
"8","Jul","Jul-Week 4",33947,31244,65.4245952854303,74.0325444451016,40.3362880380152
"1","Aug","Aug-Week 1",24445,24406,74.9467923380967,72.8268430726307,38.8539553752535
"2","Aug","Aug-Week 2",25269,25022,73.1757373061721,72.5444447026121,39.7631660953568
"3","Aug","Aug-Week 3",22154,22062,59.5697780480389,76.3031870115632,49.5980604823274
"4","Aug","Aug-Week 4",40534,40248,66.060387055328,80.5213292643396,55.2665167446666
"21","Sep","Sep-Week 1",22863,21036,58.1297134238311,79.4159256591649,52.3611831863
"22","Sep","Sep-Week 2",37009,33954,63.2995527838182,77.5281633236182,46.9082188229194
"23","Sep","Sep-Week 3",33019,32087,66.7636526410027,80.262824005791,51.7800871605766
"24","Sep","Sep-Week 4",66746,55513,73.3155886220056,77.8883823391996,50.2318257370309
"17","Oct","Oct-Week 1",28268,13535,46.6479173000912,81.6978424301829,57.3570148280919
"18","Oct","Oct-Week 2",51323,28142,58.415995845235,79.0027279111223,50.373399715505
"19","Oct","Oct-Week 3",61995,0,0,0,0
"20","Oct","Oct-Week 4",103,0,0,0,0
